"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"246","Economists",3.5,4,3.88,3,4,1,1,1,3.5,3.88,3.25,1.75,1.75,2.75,4,3,2.25,1.12,1,2.75,3,2.25,1.25,3.88,1,2.25,2.88,2.88,4,3.25,3.12,1.38,3.12,1,4,"Importance"
"247","Editors",3.12,3.62,3.12,3.12,3.62,1,1,1,3,3.38,2.62,1.88,1.88,3,2.38,3.25,3,1.25,2,2.5,3,2,3.62,4.62,1,1.12,2.5,3,3.5,2.62,2.38,1.62,3.38,1,4.25,"Importance"
"248","Education Administrators, Elementary and Secondary School",3.88,4.38,4,4,4.25,1,1.25,1,3.88,4.12,4.12,3.25,2.88,4,3.38,4,3.5,1.25,1.75,2.12,3.38,1.75,2.75,4.38,1,2,3.5,4.12,4.38,3.38,3.62,1.5,3.5,1.62,4.25,"Importance"
"249","Education Administrators, Postsecondary",3.75,4.12,3.88,3.88,4.12,1,1,1,3.88,4,3.5,3.12,2.88,3.75,2.88,4,3.62,1,2,1.25,3.5,1.38,1,4.12,1,1.38,3.75,3.88,4.12,3.38,3.38,1.5,3.88,1,4,"Importance"
"250","Education Administrators, Preschool and Childcare Center/Program",3.62,4,3.5,3.88,3.88,1,1.25,1,3.62,3.62,3.5,2.62,2.75,3.62,2.62,4,3.62,1.25,1.88,1.62,3.25,1.38,2,3.88,1,1.12,3.62,3.88,4,3.25,3.25,1.5,3.88,1.62,3.75,"Importance"
"251","Education Teachers, Postsecondary",4,4,3.75,3.38,3.88,1,1,1,4,3.38,4,1.88,2.12,3,2.12,3.75,2.88,1,1,2.62,2.88,1.12,1.25,4.12,1,2,3,3.12,4.75,3.12,3,1.12,3.62,1,4.12,"Importance"
"252","Educational, Guidance, School, and Vocational Counselors",3.75,4.38,3.75,3.5,4,1,1,1,3.62,3.88,3.62,1.25,1.25,3.25,2.25,3.5,3.62,1.25,1.88,1,3.5,1.62,1.12,4.25,1,1.5,3.75,4.25,4.38,3.38,3.12,1.75,3.62,1,4,"Importance"
"253","Electric Motor, Power Tool, and Related Repairers",2.88,3.12,3.62,2.88,3.62,3.62,3.62,2.88,2.62,3.25,2.62,2.25,2.5,2.5,2.5,2.88,2.5,3.12,3.25,1.88,2.62,1.75,3.75,3.12,4.12,2.25,2.75,2.75,3,2.5,2.62,2,3,3.88,2.88,"Importance"
"254","Electrical and Electronic Equipment Assemblers",2.62,3,2.62,3,3,2.25,2.25,2.12,2.5,3.12,2.12,1.5,1.75,2.25,2.12,3.12,2.12,2.88,3.12,1.62,2.12,1.25,2.88,3.25,2.25,1.88,2.25,2.62,2.88,2.38,2.25,1.75,2.88,2.5,2.88,"Importance"
"255","Electrical and Electronics Installers and Repairers, Transportation Equipment",2.38,3.38,3.12,2.88,3.5,3,2.5,2,2.25,2.88,2.25,1.5,1.5,1.88,2.12,2.88,2.12,2.62,3.12,1.5,2.5,1.38,2.88,3,3.12,2.12,2.25,3.12,3,2.12,2.12,1.75,3,3,2.75,"Importance"
"256","Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,3.25,3.25,3,3.5,3.5,3.12,3,2.62,3.25,2.75,2,2.12,2.5,2.75,3.25,2.38,3.12,3.88,2.12,3,2.12,3.88,3.38,3.88,2.88,3,2.88,3.12,3.25,3,2.25,3,3.75,3.12,"Importance"
"257","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2.75,3.38,3.25,2.88,3.62,3.5,2.62,1.5,2.75,3,2.25,1.62,1.62,2.75,2.12,3,2.5,2.88,3.38,2.25,2.62,1.75,3.38,3.5,3.5,2.62,2.75,2.88,3.25,2.5,2.5,1.62,2.75,3.38,2.62,"Importance"
"258","Electrical Drafters",2.88,3.62,3,3,3.25,1,1.88,1,2.62,3,2.25,1.62,1.75,2.5,2.88,2.75,2.12,1.38,1.62,3.12,2.75,1.62,2.25,3.75,1,1.88,2.25,2.75,3.62,3,2.75,1.62,2.88,1.62,3.38,"Importance"
"259","Electrical Engineering Technicians",3.12,3.38,3.38,3,3.75,3.12,2.75,2.12,2.88,3.12,2.75,1.88,1.88,2.62,2.88,3.25,2.62,2.75,3.12,2.25,2.5,1.88,3.12,3.5,3.12,2.25,2.75,2.88,3.12,3.12,3,2.62,3,3.12,3,"Importance"
"260","Electrical Engineering Technologists",3.12,3.25,3.5,3.12,3.75,2.38,2.25,2.12,2.75,3.25,2.75,2.75,2.62,2.88,3.38,3.25,2.38,2.75,3.12,2.25,2.38,2.25,3,3.38,2.25,3.12,2.75,2.75,3.25,3.25,2.88,2.5,3.25,3.25,3.25,"Importance"
"261","Electrical Engineers",3.5,3.88,3.88,3,3.88,2,2,1.12,3,3.12,2.88,2.25,2.25,3,3.25,3.5,3,1.12,2.88,3.25,3,2,2.88,3.88,2.12,3.12,2.88,3.12,3.75,3.12,3.25,2.25,3.12,2.88,3.88,"Importance"
"262","Electrical Power-Line Installers and Repairers",3,3.62,3.25,3.25,3.38,3,2.5,2.5,2.75,3.25,2.88,1.38,1.62,3,2,3.5,2.38,3.25,3.38,2,2.75,1.38,3.25,3,3.25,1.88,2.75,2.88,3.25,2.75,2.62,2,3.25,3.38,2.75,"Importance"
"263","Electricians",3.12,3.38,3.12,3,3.38,3.12,3,3.25,3.12,3.38,3,2.25,2.25,2.88,3,3.12,2.25,3,3,2.62,2.62,1,3.12,3,3.5,2.25,2.88,2.75,3.12,3,3,2,3,3.62,2.88,"Importance"
"264","Electro-Mechanical Technicians",2.88,3.12,3.38,3,3.75,3.12,3,3.12,2.88,3.25,2.88,2,2,3,2.88,3.88,2.12,3.38,4,2.38,2.38,2.25,3.88,3.25,3.75,2.75,2.25,3,3.25,2.88,2.88,2,3.12,3.88,3.25,"Importance"
"265","Electromechanical Engineering Technologists",3.38,3.75,3.38,3,3.62,3.12,2.62,2.75,2.75,3,2.62,1.88,2.12,2.88,3.12,3.38,2.62,2.5,3.12,2.25,2.75,2.5,3.25,3.62,3.12,2.62,2.62,2.88,3.25,3.25,3.25,2,3.25,3.12,3.12,"Importance"
"266","Electromechanical Equipment Assemblers",2.38,2.75,2.38,2.62,3,2.62,2.12,1.38,2.38,2.75,2.12,1.38,1.62,2.25,2.12,2.75,2.12,2.5,3.12,1.5,2.12,1.38,3.25,3.12,2.62,2.12,2.25,2.5,2.88,2,1.88,1.75,2.75,3,2.5,"Importance"
"267","Electronic Drafters",3,3.62,3,3,3.38,1,1.25,1,2.88,3.12,2.62,1.12,1.38,2,2.62,3,2.62,1.75,1.88,3,2.75,1.88,1.88,3.5,1,1.88,2.38,3,3.75,3,2.75,2,3,1.38,3,"Importance"
"268","Electronic Equipment Installers and Repairers, Motor Vehicles",2.5,3.62,3.25,3.12,3.5,3.62,3.25,3.38,2.75,2.88,2.5,1.75,1.5,2.38,2.12,3,2.62,3.25,3.5,1.88,2.62,1.5,3.25,3.25,3.75,2.25,3.12,3,3.38,2.25,2.25,2,3.25,3.5,2.88,"Importance"
"269","Electronic Home Entertainment Equipment Installers and Repairers",3.38,3.38,3.5,2.88,3.38,3.25,3,3.25,2.88,3.38,3.12,2.25,2.25,2.62,2.38,2.88,2.38,2.5,3,2.25,2.62,2.12,3.62,3.5,3.62,2.25,2.88,3,3.12,2.88,2.62,1.88,3.12,3.62,2.75,"Importance"
"270","Electronics Engineering Technicians",3.12,3.25,3.38,3,3.38,3,2.62,1.5,2.75,3,2.5,1.75,2.12,2.25,3,3.25,2.25,2.62,3.12,3,2.75,2,3,3.75,3.12,2.62,2.62,2.75,3.25,3,3,2.12,2.88,3.25,3.12,"Importance"
"271","Electronics Engineering Technologists",3.38,3.75,3.62,3.25,3.75,3.5,3.12,2.38,3,3.38,2.88,1.88,2.25,2.62,3.5,3.25,2.38,3.12,3.5,2.38,2.88,2.38,3.5,3.62,3.5,3,2.75,2.88,3.62,3.38,2.88,2.62,3.12,3.5,3.25,"Importance"
"272","Electronics Engineers, Except Computer",3.38,3.62,4,3.12,4,2.88,2.88,1.5,3,3.5,2.88,2.25,2.62,2.88,3.25,3.5,3,2.88,3.25,3.12,3,2.62,3.38,4,2.88,3.25,3,3,3.75,3.75,3.25,2.88,3,3.12,3.75,"Importance"
"273","Elementary School Teachers, Except Special Education",3.88,4,3.25,3.62,3.75,1,1.38,1,4.25,3.75,4.12,1.25,1.75,2.88,3,3.88,2.88,1.25,1.75,2.25,3,1.38,2,3.75,1,2.12,3.38,3.88,4.25,3.12,3.12,1.75,3.5,1.25,3.75,"Importance"
"274","Elevator Installers and Repairers",3.12,3.62,3.5,3,3.62,3.75,3.75,3.38,2.38,3.12,2.25,1.5,1.62,2.25,1.88,3.25,2.5,3.38,3.75,2,2.75,1.62,3.62,3.12,4,2.5,2.75,2.88,3.12,2.75,2.88,2,3,3.88,2.62,"Importance"
"275","Eligibility Interviewers, Government Programs",2.88,4.38,3.38,3.12,3.75,1,1,1,2.38,3.12,2.5,1.5,1.38,2.62,2.12,2.88,3.12,1,1.25,1.25,3,1.25,1.12,3.88,1,1.62,3.62,3.75,4.5,2.38,2,1,3.12,1,3.62,"Importance"
"276","Embalmers",2.75,3.5,3,3.12,3.25,2,2.12,1,2.62,3.12,2.38,1.75,2,2.75,2,3.12,2.25,2.25,2.62,2,2.38,1,2.38,2.88,1.88,2.62,3.12,3.12,3.75,2.12,2.12,1.62,3,2,2.88,"Importance"
"277","Emergency Management Directors",3.5,3.88,4,4,4,1,1.12,1,3.75,3.88,3.75,2.75,2.88,3.38,2.88,3.75,3.5,2.12,2.12,2.88,3.5,1.62,2.38,3.88,1,2,4.12,3.62,4,3.62,3.38,1.5,3.5,1.62,3.88,"Importance"
"278","Emergency Medical Technicians and Paramedics",3.62,3.88,3.5,3.88,4,2.5,2.12,1,3.12,3.25,3.38,1.75,2,2.88,2.62,3.38,2.75,3.25,3.12,2.25,2.75,1.62,2.62,3.5,1.75,3.12,3.75,3.75,3.88,2.88,3,1.75,3,2.38,3.38,"Importance"
"279","Endoscopy Technicians",2.88,3.38,3,3,3.5,2.88,2.38,1,2.75,2.88,2.38,1.38,1.88,2.38,2.12,3.25,2.62,3,3.38,1.12,2.5,1.38,2.75,3.62,2.62,1.5,3,3.25,3.38,2.25,2.12,1.12,3,2.5,3.12,"Importance"
"280","Energy Auditors",3.25,3.75,3.38,3.25,3.75,1.12,1.62,1.12,3,3.75,2.75,2,2,2.75,3.38,3.38,2.75,2.62,2.88,3,3.12,1.38,2.5,3.88,1.25,3.12,2.88,2.88,3.75,3.38,3.12,1.62,3.25,2.25,3.62,"Importance"
"281","Energy Brokers",3,3.75,3,3.12,4,1,1,1,2.62,3.5,2.5,2.75,2.25,2.38,3.75,3,3.25,1,1.62,1.38,3.25,2,1.38,3.88,1,1.38,2.75,3.12,3.75,3,2.88,1.38,3,1,3.38,"Importance"
"282","Energy Engineers",3.5,3.88,3.75,3.38,4,1,1.38,1,3.12,3.5,2.88,2.25,2.12,2.88,3.5,3.75,2.88,2,2.62,3.5,3.12,1.75,2.38,4.25,1,3.5,2.75,3.38,3.75,3.5,3.38,2.12,3.38,1.88,3.75,"Importance"
"283","Engine and Other Machine Assemblers",2.38,3,2.88,2.75,3,2.88,2.5,2,2.12,2.62,2,1.62,2,2.12,2,3,2.12,2.88,3.38,1.75,2.25,1.75,3.12,3.12,2.88,1.88,2.25,2.88,3,2.38,2.12,1.88,2.88,2.88,2.25,"Importance"
"284","Engineering Teachers, Postsecondary",3.38,4,3.38,3,3.62,1,1,1,4,3.5,3.75,1.75,1.75,2.88,3.62,3.38,3,1,2,2.88,3,1.88,1.75,4.12,1,3.62,2.75,3.25,3.88,3.25,3.25,1.88,3.12,1.25,4,"Importance"
"285","English Language and Literature Teachers, Postsecondary",3.75,4.12,3.38,3,3.75,1,1,1,4.5,3.25,4,1.25,1.62,2.75,2,3.5,2.88,1,1,2.38,2.75,1.25,1.25,4.88,1,1.62,3.12,3.12,4.38,2.88,2.88,1.12,3.12,1,4.25,"Importance"
"286","Environmental Compliance Inspectors",3.62,4,3.62,3.12,4,1.38,1.25,1,2.88,3.38,3.12,1.75,1.75,2.62,3,3.62,2.88,2.5,3.38,2.38,2.88,1.88,3.5,4,1.25,2.88,2.88,3.38,3.88,3.25,3.25,1.75,3,2.12,3.62,"Importance"
"287","Environmental Economists",3.62,3.75,3.62,3,3.88,1,1,1,3.12,3.75,3.25,3.12,2,2.62,3.62,3.5,2.62,1,1.25,2,3,2.12,1.62,4,1,2.12,2.75,3,3.38,3.38,3.25,2.12,2.88,1.25,4,"Importance"
"288","Environmental Engineering Technicians",3.75,3.88,3.12,3,3.88,2.38,2.5,1,2.88,3.25,3,2.12,2.38,3,3,3.38,2.88,2.88,3,2.75,2.88,2.12,3.12,3.88,2.38,3.38,2.75,3,3.38,3,2.88,2,3.12,2.75,3.12,"Importance"
"289","Environmental Engineers",3.88,3.88,3.88,3.5,4.12,1,1,1,3.38,3.75,3.12,2.38,2.5,3,3.5,3.75,3.25,2.12,2.75,2.12,3.38,1.62,2.5,4.25,1,3.38,3.12,3.38,3.75,3.12,3.25,1.88,3.62,2,3.75,"Importance"
"290","Environmental Restoration Planners",3.5,4,3.62,3.25,4,1,1.38,1.12,2.88,3.5,2.75,2.5,2.5,3.12,3,3.5,2.88,2.12,2.62,2.5,3,2,2.38,3.88,1,3.62,3,3.25,3.62,3.5,3.25,2.25,3.25,1.88,3.75,"Importance"
"291","Environmental Science and Protection Technicians, Including Health",3.12,3.62,3.25,3.12,3.62,2.25,2.12,1,2.88,3.38,2.75,1.75,2.12,2.62,3.12,3.38,2.88,3.12,3.25,2.88,2.88,1.38,2.62,3.75,2.12,3.5,3.12,3.12,3.62,3,3,1.62,3.38,2.38,3.62,"Importance"
"292","Environmental Science Teachers, Postsecondary",4,4,3.62,3.25,4,1,1,1,4.12,3.38,4,2,2,3.12,3.12,4,2.75,1,1.5,2.75,3,1.25,1.88,4.12,1,4.12,3,3.12,4.12,3,3,1.12,3.38,1.38,4.12,"Importance"
"293","Environmental Scientists and Specialists, Including Health",3.62,4,3.62,3.5,4,1.12,1.12,1,3.12,3.38,3,2.12,2.12,2.88,3.38,3.5,2.75,2.12,2.5,2.88,3,2,2.75,4,1,3.88,3,3.12,3.88,3,2.88,2,3.12,2.12,3.88,"Importance"
"294","Epidemiologists",3.75,4.12,4,3.62,4.12,1,1,1,3.25,4,3.25,2,2,3.12,3.38,3.75,2.88,1,1.88,3,3,1.38,1.12,4.25,1,4.38,3.12,3.75,4.25,3.62,3.62,1.5,3.38,1,4.12,"Importance"
"295","Equal Opportunity Representatives and Officers",3.75,4.25,3.75,3.12,4,1,1.12,1,2.88,3.62,3,1.38,1.38,2.25,2.5,3.38,3,1.12,1.75,2,3.25,1.88,1.75,4.12,1,1.62,3.12,4,4,3.25,3.25,1.75,3,1,3.88,"Importance"
"296","Etchers and Engravers",2.38,3.25,2.5,2.62,3.38,2.5,2.25,1.12,2,3,2.12,1.5,1.62,2.25,2.25,2.75,2,2.88,3.12,2.38,2.25,1.5,3,3,1.88,1.25,2.38,2.75,3.12,1.88,1.75,1.62,3.25,2.62,2.25,"Importance"
"297","Excavating and Loading Machine and Dragline Operators",3,3,3,3,3,3,3,1.5,2.5,3,2.38,1.75,1.88,2.88,2.25,3.12,2.38,4.12,3.62,2,3,1,2.75,3,3,1,2.5,3,3,2.25,2.25,1.88,3,3,2.5,"Importance"
"298","Executive Secretaries and Executive Administrative Assistants",3,4,2.62,3.5,3,1,1.12,1,2.5,3,2.5,1.5,1.75,2.5,2.62,3.12,2.75,1.25,2,1.88,2.88,2,2.12,4,1.25,1.5,3.75,3.25,3.88,2.62,2.5,1.75,3.5,1,3.62,"Importance"
"299","Exercise Physiologists",3.25,4,3.5,3.25,4,1.12,1.62,1,3.75,3.62,3.25,1.88,2.12,3,2.88,3.62,2.75,2,2.38,2,3.12,1.75,2.25,4,1,2.88,3.75,3.62,4,3,3,2.12,3,1.75,3.75,"Importance"
"300","Explosives Workers, Ordnance Handling Experts, and Blasters",3.12,3.88,3.38,3.12,3.62,2.38,2.5,1.38,3,3.62,3,1.62,2.12,3,2.5,3.75,2.62,3.5,3.5,2.25,2.5,1,2.5,3.12,2.12,1.88,2.62,2.88,3.38,2.62,2.62,1.75,3.38,2.75,2.88,"Importance"
"301","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2.62,2.88,3,3,3.12,2.62,2.62,2.12,2.25,3.12,2.25,1.75,1.75,2.25,2.5,3.12,1.75,3.38,3.5,1.75,2.38,1.5,3.12,2.88,2.75,1.88,2.25,2.75,3,2.38,2.38,1.88,2.88,3,2.62,"Importance"
"302","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2.75,3.25,3.25,3.12,3.25,3.25,2.62,1.25,2.5,3.12,2.38,1.5,1.62,2.25,2,3.5,2.12,3.5,3.75,1.75,2.38,1,3.25,2.75,3.12,1.25,2.25,2.75,3.12,2,2.12,1.12,2.88,2.88,2.62,"Importance"
"303","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2.5,3.25,2.88,2.5,3.12,2.62,2.38,2,2.38,2.88,2.38,1.75,2.12,2.38,2.38,3.5,2.12,3.62,3.88,1.75,2.25,1,3,3.12,2.62,1.38,2.12,2.75,3.12,2.38,2.25,1.62,2.62,2.88,2.75,"Importance"
"304","Fabric and Apparel Patternmakers",3.38,3.5,3.38,3.12,3.62,1.12,1.5,1.12,2.75,3.38,2.88,1.75,2.12,2.5,3.38,3.12,2.62,2.38,2.88,3.25,2.5,1.88,3.12,3.25,1.12,1.25,2.75,3,3.25,2.62,2.5,1.88,3.5,2.38,3.12,"Importance"
"305","Fabric Menders, Except Garment",2,2.75,2.38,2.38,2.88,1,1.25,1,1.88,2.62,1.12,1.62,1.75,1.88,2.25,2.62,2.12,2.75,2.38,1.5,2.12,1,2.12,2.38,1,1,2.62,2.62,2.75,2.12,2,1.62,2.75,1.75,2,"Importance"
"306","Fallers",2.38,2.88,2.62,2.5,3.25,2.88,2.62,1,2,3,1.38,1.88,1.88,2,2.38,3.25,2,3.38,3.25,2.12,2.25,1,2.62,2,2.75,1.75,2.12,2.25,2.62,1.12,2,1,2.5,2.75,1.88,"Importance"
"307","Family and General Practitioners",3.75,4.25,4,3.25,4.38,1,1.38,1,3.12,4.25,3.12,1.75,1.88,3,2.5,3.88,3,1,2.12,2.5,3,1,2,4.12,1,4,3.88,3.88,4,3,2.88,1.25,3.62,1.5,4.12,"Importance"
"308","Farm and Home Management Advisors",3.88,4.5,3.88,3.88,3.75,1,1.12,1,3.88,3.88,3.88,2.75,2.5,3,2.88,3.38,3,2.75,2.5,2.38,3.12,1.75,1.88,4,1,2.75,3.88,3.75,4.12,3.62,3.62,2,3.62,1.12,3.88,"Importance"
"309","Farm and Ranch Managers",3.12,3.38,3.25,3.5,4,2.25,2.5,1.12,2.88,3.75,3,2.75,2.88,3,3.12,3.5,3.12,3.12,3.25,2.12,3.25,1.5,3.12,3.25,2.25,2.5,2.5,3,3.62,3.25,3.12,1.75,3.38,2.5,2.88,"Importance"
"310","Farm Equipment Mechanics and Service Technicians",3,3.25,3.38,2.62,3.62,4,3.5,2,2.38,3.25,2.5,2,2,2.5,2.62,2.75,2,3.62,3.62,1.5,2.5,1.62,3.75,2.75,4.12,2.12,2.62,2.75,3.25,2.5,2.38,1.88,3.12,3.88,2.88,"Importance"
"311","Farm Labor Contractors",2.38,3.38,2.75,3,3,1,1.12,1,2.62,3,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,2.38,1.25,2.62,1.38,1.75,2.75,1,1.25,2.62,3,3.5,2.12,1.88,1,3.12,1.75,2.75,"Importance"
"312","Farmworkers and Laborers, Crop",2.38,3,2.62,3,3,2.88,2.25,1.12,2.38,2.75,2.38,1,1.25,2.88,1.38,2.88,2.12,3.12,3.12,1.38,2.12,1,2.38,2.38,2.75,1.5,2.12,2.62,3,1.25,1.12,1,2.5,2.25,2.25,"Importance"
"313","Farmworkers, Farm, Ranch, and Aquacultural Animals",2.75,3.5,3.12,3.25,3.5,2.88,3,1.12,2.62,3,2.38,1.5,1.62,2.75,1.88,3.38,2.38,3.25,3.25,1.25,2.62,1,2.88,2.88,2.88,1.88,2.75,3,3.12,2.12,2,1.38,3,3,2.62,"Importance"
"314","Fashion Designers",3.88,4,3.75,3.88,4,1,1.62,1,3.5,3.88,3.12,2.88,2.75,3.75,2.25,3.62,3.62,1,2.25,3.38,3.62,1.38,2.5,3.75,1,1.12,3.62,3.88,3.88,3.25,3.12,1.75,3.75,1.62,3.5,"Importance"
"315","Fence Erectors",2.5,3.12,2.88,3,3.12,2.5,2.62,1.12,2.12,3,2.25,2,2.12,2.38,2.5,2.88,2.5,3.25,3,1.88,2.38,1,2.62,2.5,2.38,1.12,2.38,2.75,3,2.25,2.25,1.75,3,2.38,2.38,"Importance"
"316","Fiberglass Laminators and Fabricators",3,3.12,3,2.88,3.25,1,1.62,1.12,2.75,3,2.62,2,2.25,2.5,2.5,3.38,2.5,3,3.25,1.12,2.5,1,3,2.88,1.12,1.88,2.38,2.75,3.12,2.38,2.38,1.88,3,2.12,2.5,"Importance"
"317","File Clerks",2.75,3.12,2.62,2.75,3,1,1.12,1,2,2.75,2.12,1.5,2,2.12,2,3,2.38,1.88,1.5,1.88,2.25,1.5,2,3.75,1,1,3,3,3,2.12,2.12,1.5,3,1.25,3,"Importance"
"318","Film and Video Editors",3.12,3.62,3.12,3,3.5,1,1.38,1.12,2.62,3.25,2.62,1.62,1.62,2.5,2,3,2.62,1.38,2.38,2.12,2.75,1.75,2.62,3.5,1,1,2.75,2.88,3.38,2.62,2.5,2.12,3.38,1.88,3.12,"Importance"
"319","Financial Analysts",3.38,3.62,3.62,2.88,3.88,1,1,1,2.5,3.5,2.5,2.12,1.5,2.5,3.5,3.12,2.88,1,1.38,2.88,3,1.38,1,3.88,1,1.75,2.62,3,3.75,3.12,3.12,1.25,3.12,1,3.88,"Importance"
"320","Financial Examiners",3.88,4.12,3.75,3.75,4.12,1,1,1,3.62,3.75,3.62,1.75,1.5,3.88,3.62,3.75,3.25,1.25,1.88,3.12,3,1.88,2.12,4.25,1,1.25,3,3.62,3.88,3.75,3.5,1.38,3.62,1,3.88,"Importance"
"321","Financial Managers, Branch or Department",3.75,4,3.75,3.75,4,1,1,1,3.12,3.88,3.5,3,2,3.75,3.25,4,3.12,1.25,1.62,2.5,3.62,1.38,1.38,4,1.12,1.38,3.62,3.75,4,3.12,3,1.5,3.62,1,3.88,"Importance"
"322","Fine Artists, Including Painters, Sculptors, and Illustrators",3.38,3.25,3,2.62,3.25,1,2,1.25,1.38,3.25,2.25,2.5,2.5,2.12,1.5,2.88,2.38,2.25,2.38,2.88,2.75,1.5,2.38,2.75,1,1,2.5,3,2.88,2.12,2.25,2.12,2.88,2,2.5,"Importance"
"323","Fire Inspectors",3.38,3.62,3.12,3,3.62,1.12,1.12,1,2.88,3.62,2.88,1.75,1.75,2.62,2.75,3.12,2.62,2.5,3.38,2.62,2.88,1.62,3.88,3.38,1.25,2.88,3.12,2.88,3.5,3.12,3,1.5,3,2.75,3.38,"Importance"
"324","Fire Investigators",3.12,4,3.62,3.5,4,1.12,1.25,1,3.25,3.5,3,1.62,1.75,2.25,2.5,3.38,2.62,2.25,2.38,1.25,3,1.38,2.12,3.38,1.12,3.25,2.75,3,4,2.5,2.5,1.25,3.25,2.38,3.5,"Importance"
"325","Fire-Prevention and Protection Engineers",3.75,4,3.88,3,4.12,1,2,1.12,3,3.62,3,2.62,2.62,3.12,3,3,2.75,2.12,2.75,3.5,3,1.88,3.12,3.88,1,3.62,3,3,3.75,3.75,3.5,2.88,3.25,2.75,3.5,"Importance"
"326","First-Line Supervisors of Agricultural Crop and Horticultural Workers",3,3.88,3.12,3.5,3.62,2.62,2.25,1.12,3.12,3.88,3,2.75,2.88,3.25,2.75,3.62,3,3.25,3.25,2.62,3.12,1.62,3.12,3.12,2.5,2.12,3,3.5,3.5,2.88,2.88,1.38,3.12,2.62,3,"Importance"
"327","First-Line Supervisors of Animal Husbandry and Animal Care Workers",3.62,3.75,3.38,3.88,4,2.62,2.62,1,3.5,3.75,3.62,3.12,3.12,4,2.75,3.88,3.25,2.75,2.88,2.62,3.25,1.62,3.25,3.5,2.5,3.12,3.25,3.5,4,3.25,3.38,1.75,3.88,2.62,3.38,"Importance"
"328","First-Line Supervisors of Aquacultural Workers",3.25,3.88,3.38,3.62,3.88,2.38,2.38,1,3.12,3.88,3,2.75,3,3.88,3,3.88,3,2.88,3.12,2.75,3.25,1.5,3.12,3.38,2.25,2.88,2.88,3.5,3.88,3.25,3.25,1.75,3.75,2.38,3.38,"Importance"
"329","First-Line Supervisors of Construction Trades and Extraction Workers",3.12,3.88,3.12,3.88,3.75,2.38,3,1.12,3.12,3.12,2.88,2,2.38,3.5,2.75,3.38,3,2.88,2.88,2.75,3.25,1.25,3.12,3.5,2.12,2,3,3.38,3.62,2.88,2.88,1.88,3.5,2.38,3,"Importance"
"330","First-Line Supervisors of Correctional Officers",3.25,4,3.38,4,4,1,1.12,1,3.38,3.25,3.12,1.88,2,3.75,2.12,4,3.75,1.88,2,2.12,3.62,1.5,2.5,3.88,1,1.5,3,4,3.88,3,2.75,1.62,3.38,1.62,3.5,"Importance"
"331","First-Line Supervisors of Food Preparation and Serving Workers",2.88,3.75,3.12,3.75,3.38,1.38,1.25,1,3.5,3.25,3.12,2.75,2.75,3.62,3,3.62,3.12,2.12,2.25,2,3.25,1.38,2.88,3.38,1,1.12,3.75,3.5,3.88,3,3,1.38,3.38,1.75,2.88,"Importance"
"332","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.88,3.88,3.5,3.75,3.75,1,1.25,1,3.25,3.25,3,2.12,2.12,3.62,2.12,3.38,3.25,2.25,2.62,2.12,3.25,1.38,2.38,3.12,1,1.25,2.88,3.25,3.75,2.75,3,1.62,3.38,1.88,3,"Importance"
"333","First-Line Supervisors of Housekeeping and Janitorial Workers",3,3.12,3,3.25,3.12,2.12,1.5,1,3,3.12,3.12,2.38,2.88,3.38,2.38,3.38,3,2.38,2.5,2,3,1,2.88,3.12,1.5,1.12,3.12,3.38,3.38,2.5,2.62,1.25,3.38,2.38,2.88,"Importance"
"334","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.12,3.88,3.25,3.88,3.88,1.75,1.88,1.25,3.12,3.25,3.12,2.25,2.62,3.75,2.75,3.75,3,3,3,2.25,3,1.62,2.88,3.25,1.75,1.38,3.12,3.38,3.75,2.75,2.62,1.75,3.75,2.12,3,"Importance"
"335","First-Line Supervisors of Logging Workers",3,3.75,3.5,3.62,3.5,2.88,2.75,1,3.12,3.5,2.88,2.62,2.88,3.62,2.62,3.88,2.88,3.62,3.62,2.88,3,1,3,3.25,2.88,1.38,3,3,3.75,3,3,2,3.75,3,3,"Importance"
"336","First-Line Supervisors of Mechanics, Installers, and Repairers",3.25,3.5,3.12,3.62,3.88,3,2.62,1.88,3.38,3.5,3.12,2.88,3.12,4,3,4,3,2.88,3.25,2.62,3.12,1.62,3.5,3.5,3,1.75,3.25,3.38,3.62,3.12,3.25,2,3.62,3.12,3.25,"Importance"
