"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"230","Dietetic Technicians",3,3.25,3,3,3.25,0,0.12,0,3,3,3,2.25,2.25,3,2.75,3.5,2.25,2,2.62,2,2.88,1,2.75,3.25,0,1.88,3.5,3,3,2.75,2.62,0.88,3,1.88,2.88,"Level"
"231","Dietitians and Nutritionists",4,4,4,3.88,4,0,0,0,4,4,3.88,3.62,3.25,3.75,2.88,4.12,3.88,0,2.12,3.5,4,1.25,3.12,4.88,0,3.62,4,4.38,4.12,3.75,3.75,1.12,3.75,1.38,4.25,"Level"
"232","Dining Room and Cafeteria Attendants and Bartender Helpers",1.62,2.12,1.75,3,2.12,0,0,0,1.75,1.88,1.75,0.5,0.62,1.75,1.25,2.12,1.62,0.88,1.5,0.25,1.5,0.25,1.62,1.75,0,0,2.38,2.25,2.12,1,0.88,0.25,2,1.25,1.38,"Level"
"233","Directors- Stage, Motion Pictures, Television, and Radio",3.25,4,3.12,3.88,3.62,0,0,0,3.5,3.5,3,1.38,2.38,3.62,1.88,3.62,3.5,0.25,1.5,0,3.5,0.5,2,3.88,0,0,2.62,3.38,4,3,3,1,3.62,1.38,3.38,"Level"
"234","Directors, Religious Activities and Education",3.75,3.75,3.75,3.88,3.88,0,0,0,3.25,3.38,3.75,3.12,2.75,3.62,2.88,3.88,2.88,0.62,1.5,2.62,3.62,0.75,1.12,4.12,0,0.88,3.5,4.5,4,3,3.25,0.62,3.62,0,3.88,"Level"
"235","Dishwashers",2,2.25,2,2,2.12,2.12,2,0,1.38,2,1,0.88,0.88,2,1,2,1.75,2,2,0,2,0,2,2,2,0,2,2.25,2.25,1.38,1.25,0.25,2,2,1.5,"Level"
"236","Dispatchers, Except Police, Fire, and Ambulance",3,4,3,3.75,3.88,0,0,0,2.75,3,2.88,1.12,1.25,2.88,2.12,3.25,2.88,0,2,1.38,2.88,0.25,1.75,3.25,0,0.12,3,3.12,3.88,2.88,2.88,0.62,3.25,1,3,"Level"
"237","Distance Learning Coordinators",4.38,4,3.5,4,4.12,0,1.5,0,4,3.38,4.25,3.38,3.12,3.5,2.88,4,3.62,0.62,1.75,2.5,3.62,1.5,2.88,4.38,0,0.5,3.5,3.75,4.25,3.38,3.5,1.88,3.5,2.25,4.5,"Level"
"238","Document Management Specialists",3.38,3.75,3.5,3.12,3.75,0.25,0,0.5,3,3.38,3.12,1.5,1.88,3,2.25,3.38,2.62,0.5,2,2.25,2.75,2,1.38,3.75,0,0,3,3.25,3.38,3.38,3.25,1.88,3.25,0.62,3.62,"Level"
"239","Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",2.5,3.38,2.62,3,3.25,0,0,0,2.25,3.12,2.38,1.5,1.75,1.62,0.25,2.75,3.5,0,0,1.62,4.12,0.62,0.25,2.88,0,0,3.25,3.25,3.38,1.62,1.88,0.88,3,0,2.88,"Level"
"240","Dredge Operators",2.12,2.38,2.5,3.12,2.75,2.38,2.5,0,2.62,2.62,2.5,1.25,1.38,2.88,1.88,2.88,1.88,3.25,3.62,1,2,0,2.75,2.38,2.38,0.5,1.88,2.38,2.25,1.88,2,0.88,2.38,2.62,2,"Level"
"241","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.38,3,2.75,2.25,3.12,2.38,2.25,1.5,2,2.75,2.12,0.5,0.75,2.12,2.25,3.12,1.88,3.12,3.5,1.88,2,0.25,2.88,2.88,2.38,0.62,2,2.25,3,2.12,2,1.12,2.38,2.75,2.75,"Level"
"242","Driver/Sales Workers",2.38,2.88,2.75,2.88,3.5,1.12,0,0,2.25,2.62,2.12,1.25,1.5,1.88,2.25,2.62,2.88,2.12,2,0.25,2.88,0.25,2,2.75,0.12,0,3.25,2.5,2.75,1.88,1.75,0,2.62,1,2.88,"Level"
"243","Drywall and Ceiling Tile Installers",2.75,2.88,2.88,3.38,3,2.25,1.88,1.38,2.12,2.62,2.25,0.75,1,2,1.88,3,2.12,2.75,2.88,2.12,2,0,2.75,3,2.38,0.5,1.88,2.62,2.62,1.75,1.75,0.88,2.75,2.38,2.38,"Level"
"244","Earth Drillers, Except Oil and Gas",2.38,2.75,2.88,3.12,2.62,3.12,2.38,1,2.75,2.62,1.88,0.5,0.88,1.88,1.25,3.12,2.12,3.75,3.75,1.12,2,0,2.88,2.25,3,0.62,2.38,2,2.5,1.5,1.5,1.38,2.25,2.75,2,"Level"
"245","Economics Teachers, Postsecondary",4,4.12,3.5,3,3.88,0,0,0,4,3.62,3.88,1.25,1.38,2.75,3.5,3.62,2.38,0,1.25,3.12,2.62,1.38,0.5,4.25,0,3.12,2.5,3.62,4.12,3,3.12,1,3,0,4,"Level"
"246","Economists",4.12,4.12,4.12,3,4.5,0,0,0,3.38,4.25,3.5,0.75,0.75,2.38,4.38,3.62,2.62,0.25,0,2.75,3.5,1.88,0.62,4.5,0,2.5,2.88,2.75,4.38,4.25,3.75,0.38,3.25,0,4.5,"Level"
"247","Editors",3.88,4,3.38,3.75,4,0,0,0,3.38,3.5,3.38,1.5,1.25,3.62,2.75,3.88,3.75,0.38,1.5,2.25,3.62,1.38,3.5,5,0,0.12,2.62,3.62,4.12,2.62,2.62,0.88,4,0,4.88,"Level"
"248","Education Administrators, Elementary and Secondary School",4.12,4.38,4.12,4.12,4.25,0,0.38,0,4,4.25,4.5,3.75,3.38,4.25,3.25,4.5,3.75,0.38,1.12,2.25,4,1.12,3.12,4.25,0,1.5,3.5,4.12,4.38,3.88,4,0.62,4.12,0.88,4.25,"Level"
"249","Education Administrators, Postsecondary",3.88,4.25,3.75,4,4.12,0,0,0,4,4,3.75,3.25,3.5,4,2.88,4.12,3.75,0,1.38,0.38,3.75,0.5,0,4.5,0,0.75,3.75,3.88,4.12,3.62,3.62,0.88,4.12,0,4.12,"Level"
"250","Education Administrators, Preschool and Childcare Center/Program",3.62,3.88,3,3.75,3.88,0,0.38,0,3.5,3.88,3.75,2.75,3.25,4,2.5,4,3.5,0.5,1.5,1,3.25,0.5,1.5,4.12,0,0.25,3.5,3.62,3.88,3.12,3.38,0.75,3.88,0.75,3.75,"Level"
"251","Education Teachers, Postsecondary",4,4.5,3.88,3.12,4,0,0,0,4.12,3.75,4.25,1,1.62,3,2.38,4.25,2.88,0,0,2.75,2.88,0.12,0.5,4.88,0,2.5,3.12,3.62,4.88,3.12,3.12,0.25,3.75,0,4.75,"Level"
"252","Educational, Guidance, School, and Vocational Counselors",3.75,4.38,3.5,3.5,4,0,0,0,3.38,3.88,3.88,0.5,0.5,3.12,2,3.75,3.38,0.38,1.25,0,3.62,0.75,0.25,4.38,0,0.88,4,4.75,4.12,3.38,3.5,1,3.88,0,4.25,"Level"
"253","Electric Motor, Power Tool, and Related Repairers",3.25,2.88,3.25,2.62,3.5,3.62,3.12,2.62,2.88,3,2.62,1.62,2,2.62,2.62,2.88,2.38,3,3.38,1.75,2.75,1.12,3.62,3.12,4,2.12,2.5,2.62,2.75,2.62,2.5,1.62,2.88,3.75,2.75,"Level"
"254","Electrical and Electronic Equipment Assemblers",2.75,2.88,2.5,2.88,3,1.5,1.5,1.62,2.5,2.62,2,0.5,0.88,2,2,2.88,1.88,2.88,3,0.62,1.88,0.25,2.5,3.12,1.75,1.5,2.38,2.5,2.75,1.5,1.5,0.75,2.75,2,2.62,"Level"
"255","Electrical and Electronics Installers and Repairers, Transportation Equipment",2.25,3,3,2.88,3,3.12,2.38,1.38,2.5,2.75,1.88,0.75,0.62,2.12,1.88,3,1.75,2.38,2.88,1.12,2.5,0.38,3.12,3.12,3.25,1.62,2.38,2.88,2.75,2,2.12,1,3,3.25,2.62,"Level"
"256","Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,3.38,3.5,3.12,3.62,3.75,3.38,3.38,3,3.25,3,1.62,2.25,2.5,3,3.25,2.5,3.5,4,2.12,2.88,2.12,4,4,3.88,2.75,2.88,2.88,3.12,3.25,3.12,2.88,3.12,3.88,3,"Level"
"257","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2.75,3.12,3,3.12,3.25,3.75,1.88,0.62,3.12,3,2.38,1,1,2.75,2.38,3,2.38,3.12,3.25,2.38,2.25,1,3.38,3.5,3.62,2.62,2.62,2.75,2.88,2.75,2.75,1,3,3.62,2.62,"Level"
"258","Electrical Drafters",3,3.62,3.25,3,3.38,0,0.88,0,2.88,2.88,2.38,0.62,0.75,2.5,3.12,2.75,1.88,0.5,1.25,3,2.75,0.88,2.38,3.88,0,1.5,2.25,2.62,3.38,2.88,2.88,0.62,2.88,0.62,3.62,"Level"
"259","Electrical Engineering Technicians",3.25,3.5,3.25,3.12,3.88,3,2.88,2.5,3.12,3.25,2.88,1,1.5,2.62,3.25,3.25,2.75,3,3.38,2.25,2.62,1.25,3.62,4,3.12,2,2.75,2.75,3.12,3,3,2.62,3,3.38,3.12,"Level"
"260","Electrical Engineering Technologists",3.5,3.5,3.75,3.38,3.88,2.62,2.62,2.5,3.38,3.62,3,3.38,3.12,3.25,3.62,3.88,2.5,2.88,3.5,2.25,3.12,1.88,3.38,4.38,2.5,3.25,2.62,2.88,3.62,3,3.38,3,3.25,3.62,3.62,"Level"
"261","Electrical Engineers",3.38,4,3.75,3.25,4,2,1.88,0.12,3,3.25,3,2.5,2.62,3,4,3.5,2.88,0.12,3,3.25,2.88,1.5,2.88,4.25,2.38,3.5,3,3.12,3.75,3.25,3.38,2,3.25,3,3.88,"Level"
"262","Electrical Power-Line Installers and Repairers",3,3.12,3.25,3.25,3.38,3.12,2.12,1.88,2.88,3.25,2.88,0.38,0.88,3,1.62,3.25,2.5,3.25,3.38,1.62,3,0.5,3.12,3.12,3.38,1.25,2.75,2.88,2.88,3.12,3,1.25,3.25,3.38,2.75,"Level"
"263","Electricians",3.25,3,3.12,3.5,3.62,3.38,2.88,3.62,3,3.25,3.5,2,2.25,3.12,3.25,3.5,2.38,3,3.12,2.75,2.88,0,3.5,3.25,3.62,2.12,2.88,2.88,3.12,3,3.12,1.75,3,4,3,"Level"
"264","Electro-Mechanical Technicians",3,3.38,3.12,3,3.75,3.88,3,3.12,3,3.12,3,1.25,1.38,2.88,2.88,4,2,3.62,4,2.25,2.25,2,3.88,3.88,3.75,2.88,2.38,3.12,3.12,3,3,1.12,3,3.88,3.38,"Level"
"265","Electromechanical Engineering Technologists",3.88,4,3.5,3.25,3.88,3.25,2.75,2.62,3.25,3.38,3.12,1.88,2.5,3.12,3.62,3.5,2.75,2.25,3.12,2.25,3,2.38,3.38,4.12,3.25,2.62,3,2.88,3.75,3.38,3.38,1.62,3.25,3.38,3.62,"Level"
"266","Electromechanical Equipment Assemblers",2.12,2.75,2.12,2.62,3,2.88,1.75,0.5,2.38,2.62,1.75,0.38,0.75,1.88,1.75,2.62,2,2.12,3,0.62,2,0.5,3.38,3,2.5,2,1.75,2.12,2.62,1.5,1.25,0.88,2.62,3.25,2.38,"Level"
"267","Electronic Drafters",3.25,3.88,3,2.88,3.62,0,0.38,0,2.75,3,2.88,0.25,0.5,2.12,2.88,3,2.38,1,1.38,3,2.75,1.12,1.25,3.62,0,1.62,2.5,2.88,3,3.12,2.88,1.5,3,0.5,3.12,"Level"
"268","Electronic Equipment Installers and Repairers, Motor Vehicles",2.25,3.12,3,3,3.12,3.25,2.62,3.12,2.38,2.88,2.38,1,0.62,2,1.75,3,2.38,3,3.12,1.88,2.38,0.75,3,3.12,3.62,2.12,2.62,2.88,3.12,2,2.25,1.38,2.88,3.62,2.88,"Level"
"269","Electronic Home Entertainment Equipment Installers and Repairers",3.12,3.12,3.25,2.62,3.62,3,2.88,3,3,3,2.88,1.88,1.88,2.75,2.38,2.88,2.12,2.38,2.75,2.38,2.75,1.5,3.62,3.5,3.38,1.75,3.12,2.38,3,2.75,2.5,1.5,2.62,3.62,2.5,"Level"
"270","Electronics Engineering Technicians",3,3.5,3.12,3,3.38,3,3,0.88,3,3,2.38,0.88,1.5,2.38,3.12,3.12,2.38,2.75,3,3,2.75,1.62,3,3.88,3.12,3,2.88,2.62,3.12,3,3,1.62,2.88,3.25,3.12,"Level"
"271","Electronics Engineering Technologists",3.88,4,3.5,3.38,4,3.62,3.62,2.62,3.25,3.62,3.5,1.38,1.88,3,4.12,3.88,2,3.25,3.62,3.12,3,2.75,3.88,4.12,3.62,3.62,2.62,2.88,3.75,3.25,3,3.25,3.5,4,3.38,"Level"
"272","Electronics Engineers, Except Computer",3.75,4,4.12,3.25,4,2.75,2.88,0.62,3.12,3.5,3.12,2.5,2.5,2.88,3.62,3.62,3.12,3.12,3.5,3.38,3,2.88,3.75,4.12,3,3.12,3,3,4,3.88,3.75,3.12,3,3.12,4,"Level"
"273","Elementary School Teachers, Except Special Education",3.5,3.75,3.25,3.62,3.88,0,0.62,0,3.5,3.62,4.38,0.5,1.25,3,2.62,4.12,2.62,0.38,1.25,1.75,2.88,0.75,1.38,4,0,1.62,3.5,3.88,3.62,3.12,3.25,1,3.25,0.38,3.88,"Level"
"274","Elevator Installers and Repairers",3,3.12,3.12,3.12,3,3.75,3.12,2.88,1.88,3,2.25,0.5,0.88,1.88,1.62,3.12,2.38,3.25,3.38,1.88,2.5,0.75,3.5,3.25,3.75,2.62,2.75,2.62,2.88,2.88,2.75,1.5,3,3.88,2.75,"Level"
"275","Eligibility Interviewers, Government Programs",3,4.12,3.12,3,3.75,0,0,0,2.5,3.25,2.25,0.75,0.5,2.62,1.75,3,3,0,0.25,0.62,3,0.38,0.25,4,0,0.75,3.75,3.5,4.12,2.5,2.25,0,3,0,3.5,"Level"
"276","Embalmers",3.12,3.5,2.88,3.12,3.38,1.62,1.5,0,2.88,3,2.62,1,1.25,2.75,1.5,3.25,2.5,2.25,2,1.88,2.38,0,2.12,3.12,1.5,2.5,3.38,4.12,3.5,2.12,2.12,0.75,3.12,1.5,3,"Level"
"277","Emergency Management Directors",4.12,4,5.12,4.62,4.5,0,0.25,0,3.88,4.12,3.5,2.62,3,3.62,3.12,4.38,3.5,1.75,2,3.5,3.88,1,2.88,4.38,0,1.5,5.12,4,4.25,4.12,4,0.75,3.88,1.25,4.25,"Level"
"278","Emergency Medical Technicians and Paramedics",4,3.88,3.25,3.88,4,1.62,2.12,0,3,3.62,3.38,1.38,1.88,2.88,3,3.88,2.75,3.12,3.12,2.38,3,0.62,2.75,4,1.12,3.5,3.62,3.75,3.88,2.75,3,0.75,3,2.25,3.25,"Level"
"279","Endoscopy Technicians",2.75,3.38,2.75,3,3.25,2.62,2.12,0,2.88,3.12,2.25,0.38,1.25,1.75,1.75,3.25,2.5,2.62,3.38,0.12,2.62,0.38,2.88,3.62,2.38,0.88,3.12,3.12,3,2.12,2,0.25,2.88,2.5,3.12,"Level"
"280","Energy Auditors",3.25,3.62,3.25,3.12,3.5,0.25,1,0.38,3,3.5,3.12,1.88,1.75,2.5,3.38,3.38,2.62,2.38,2.62,3.5,3.25,0.5,2.12,3.62,0.25,3.12,2.88,3.12,3.25,3.5,3.62,0.75,3.25,1.88,3.75,"Level"
"281","Energy Brokers",3.5,3.88,3.12,3.38,4.12,0,0,0,2.75,3.75,2.75,2.75,2.38,2.5,4.12,3.5,3.75,0,0.75,0.88,3.5,1.38,0.88,4,0,0.62,2.75,3.12,4.12,3.25,3.38,0.5,2.62,0,3.88,"Level"
"282","Energy Engineers",3.88,4,4.12,3.62,4.12,0,0.88,0,3.25,3.75,3.12,2.25,2.25,3.25,3.62,3.88,3.25,1.75,2.75,4.38,3.25,1,2.5,4.62,0,4.5,3.12,3.62,4,3.75,3.5,1.88,3.5,1.5,4.25,"Level"
"283","Engine and Other Machine Assemblers",2.25,3,2.25,2.25,3,2.88,2.25,1.38,2.25,2.5,2,0.62,1.12,2.12,2,3,2,2.88,3.12,0.75,2,0.75,3.25,3.12,2.88,1.62,2,2.12,2.88,2,2,1,2.25,3,2.25,"Level"
"284","Engineering Teachers, Postsecondary",3.75,4,3.38,2.75,4.12,0,0,0,4.5,3.75,4,1.5,1.5,2.88,4.38,4,2.88,0,1.62,2.88,3,1.62,1.38,4.88,0,3.25,2.75,3.5,4.5,3.12,3,1.75,3,0.25,4.5,"Level"
"285","English Language and Literature Teachers, Postsecondary",3.88,4.25,3.62,3,4.12,0,0,0,4.25,4,4.62,0.38,0.75,2.88,2.12,4,2.88,0,0,2.12,3,0.25,0.5,4.75,0,1,3.12,3.62,4.5,2.88,3,0.12,3.25,0,5,"Level"
"286","Environmental Compliance Inspectors",4.12,4.12,4,3.25,4.25,0.38,0.38,0,3.12,3.75,3.5,0.88,1,2.62,3.38,4.38,3,2.62,3.12,2.38,3.12,1.62,3.5,4.62,0.25,3.12,2.75,3.5,4.25,3.25,3.62,0.75,2.88,2.12,4.12,"Level"
"287","Environmental Economists",3.88,4.12,3.75,3.38,4.25,0,0,0,3.38,4.12,3.75,3.12,2,2.88,4.5,3.75,3,0,0.25,1.88,3.5,2.12,1.25,4.5,0,2.38,2.88,3.38,3.88,4,3.62,1.75,3.38,0.62,4.25,"Level"
"288","Environmental Engineering Technicians",3.88,4,3.38,3,4,2,2.25,0,2.88,3.62,3,2.12,2.75,3,3.75,3.75,2.75,2.75,3.12,3,2.88,2,3.38,4,2.25,3.75,2.88,3,4,3,3,1.88,3.12,2.62,3.88,"Level"
"289","Environmental Engineers",4.12,4.25,4.25,4,4.38,0,0,0,3.5,4.12,3.5,2.5,2.5,3.38,3.75,4.25,3.5,2,3,1.88,3.5,1.38,3.12,4.5,0,3.88,3.12,3.5,4.12,3.5,3.62,1.38,4,1.88,4.38,"Level"
"290","Environmental Restoration Planners",3.62,3.88,3.75,3.62,4,0,0.75,0.5,3,3.62,3.25,2.38,2.62,3.25,3.25,3.62,2.88,2.12,2.75,2.25,3.25,1.5,2.25,4.12,0,3.5,3,3.25,3.75,3.62,3.62,1.88,3.5,1.5,3.88,"Level"
"291","Environmental Science and Protection Technicians, Including Health",3,3.75,3.25,3.25,4,2.25,2,0,3,3.25,2.88,1.25,2,2.75,3.25,3.75,2.88,2.88,3,2.88,3.12,0.5,2.88,4,2,3.25,2.75,3.25,3.5,3.12,3.12,1,3.25,2.75,3.75,"Level"
"292","Environmental Science Teachers, Postsecondary",4,4.12,4.12,3.38,4.12,0,0,0,4.25,4,4.12,2,2,3.12,3.12,4,2.88,0,0.5,3.12,3.12,0.25,1.62,5,0,4.5,3.25,3.88,4.25,3.38,3.25,0.12,3.62,0.38,5,"Level"
"293","Environmental Scientists and Specialists, Including Health",4,4.12,4,3.75,4.12,0.25,0.12,0,4,3.88,3.88,2.25,2.12,3.38,4.12,4.12,2.88,2.38,3,3.38,3.25,2.62,3,5,0,4.62,3,3.5,4.38,3.88,3.75,1.5,3.5,2,4.5,"Level"
"294","Epidemiologists",4.12,4.25,4.12,3.75,4.25,0,0,0,3.38,4.12,3.25,2.12,2.12,3.25,3.75,4.25,3.12,0,1.62,3.62,3.25,0.5,0.25,4.88,0,5.25,3.25,3.5,4,3.75,3.62,0.62,3.88,0,4.12,"Level"
"295","Equal Opportunity Representatives and Officers",4,4.62,3.62,3.25,4.5,0,0.12,0,3.38,3.75,3.38,0.38,0.38,2,2.75,3.88,3.62,0.12,1.25,1.88,4,1.5,1.25,4.75,0,0.75,3.38,4.12,4.25,3.25,3.5,0.88,3,0,4.38,"Level"
"296","Etchers and Engravers",2.12,2.75,1.88,2.25,3.12,1.88,1.62,0.25,1.75,2.5,1.62,0.5,0.62,1.75,1.88,2.5,1.38,2.75,2.88,1.88,1.88,0.5,2.75,2.75,1.12,0.38,2,2.12,2.5,1.38,1,0.75,2.62,2.5,2,"Level"
"297","Excavating and Loading Machine and Dragline Operators",2.88,3,2.88,3.12,3,3.12,2.88,0.62,2.25,2.75,2.25,0.75,0.88,2.88,2.25,3,2.25,3.62,3.25,1.62,2.75,0,2.75,3,3.12,0,2.25,2.62,2.75,2.12,2.12,1.12,2.88,3,2.38,"Level"
"298","Executive Secretaries and Executive Administrative Assistants",3.12,4,3,3.25,3.62,0,0.12,0,2.5,3,2.75,0.88,1.25,2.5,2.38,3.62,2.62,0.5,1.5,1.62,2.75,1.38,1.5,3.88,0.38,0.75,3.88,3.25,3.75,2.62,2.5,0.88,3.38,0,3.62,"Level"
"299","Exercise Physiologists",3.75,4.25,3.5,3.62,4,0.12,1.5,0,3.75,3.75,3.88,1.5,1.88,3.38,3,4.12,3,1.88,2.25,1.62,3.75,0.88,2.25,4.5,0,3,3.62,4.12,4.12,3.25,3.38,2,3.38,1.38,4.12,"Level"
"300","Explosives Workers, Ordnance Handling Experts, and Blasters",3.12,3.38,3.25,3.5,3.5,2.25,2.38,0.88,3.38,3.25,2.88,1,1.88,3.25,2.88,3.62,2.62,3.12,3.25,1.88,2.62,0,2.5,3.62,2.25,1.38,2.38,2.75,3.12,2.62,2.75,1.12,3.25,2.88,2.88,"Level"
"301","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2.25,2.62,2.62,3,2.75,2.62,2.5,1.62,2.25,2.75,2.12,0.75,1.25,1.88,2.5,3.25,1.5,3.5,3.62,1.38,1.88,0.5,3.38,2.88,2.88,1.12,1.75,2.38,2.5,2.25,2.25,0.88,2.5,2.75,2,"Level"
"302","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2.62,3,2.88,3.12,2.88,3,2.5,0.62,2.5,2.88,2,0.5,0.75,2,1.88,3.12,2.12,3.25,3.62,1.38,2.38,0,3.12,2.88,3.12,0.38,2,2.62,2.62,1.38,1.5,0.25,2.88,2.88,2.62,"Level"
"303","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2.25,2.5,2.5,2.12,2.75,2.5,2.38,1.5,2.62,2.25,2.38,0.88,1.38,2.38,2.12,3.25,1.88,3.5,3.62,0.88,2,0,3,2.75,2.5,0.5,1.75,2,2.38,2.25,1.88,0.88,2.62,2.62,2.62,"Level"
"304","Fabric and Apparel Patternmakers",3.38,3.5,3.25,2.88,3.25,0.25,0.75,0.25,2.75,3,2.75,1.12,1.62,2.12,3.38,3.12,2.5,2.62,2.75,3,2.5,1.12,3.25,3.38,0.25,0.5,2.62,2.62,3,2.5,2.38,1.12,3.12,2.25,2.62,"Level"
"305","Fabric Menders, Except Garment",1.62,2.38,2.38,2.25,2.38,0,0.38,0,1.5,2.12,0.12,1,1.12,1.88,2.25,2.25,1.88,2.62,2.12,0.88,2.12,0,1.88,2.25,0,0,2.25,2.12,2,1.88,1.62,1.12,2.5,1.62,1.88,"Level"
"306","Fallers",2,2.38,2.5,2.88,3,2.5,2.38,0,1.5,2.62,0.75,1,1,1.5,1.5,2.75,1.75,2.88,2.5,1.38,2.12,0,2.5,1.75,2.25,1.25,1.25,1.88,2.38,0.12,1.12,0,2.12,2.5,1.25,"Level"
"307","Family and General Practitioners",4,4.75,4.12,4,4.38,0,0.62,0,3.88,4.62,3.38,1.5,1.62,3.62,2.75,4,3,0,2,2.88,3.5,0,2,4.75,0,4.25,3.75,4.25,4.25,3.25,3.38,0.38,3.88,0.62,4.25,"Level"
"308","Farm and Home Management Advisors",4.5,4.12,3.88,4,4.12,0,0.12,0,3.88,3.88,4.25,2.88,2.38,3.12,3.62,4,3.62,2.62,2.25,2.75,3.75,1.5,1.12,4.5,0,2.88,3.88,4,4.12,3.75,3.75,1.62,3.5,0.12,4.12,"Level"
"309","Farm and Ranch Managers",3.5,3.5,3.5,3.88,4.12,2.5,2.5,0.12,3.12,3.88,3.38,3.62,3.5,3.12,3.75,3.75,3.75,2.88,3.12,2.25,3.62,0.62,3,3.75,2.25,2.5,2.62,3.25,3.75,3.38,3.38,1,3.75,2.38,3.5,"Level"
"310","Farm Equipment Mechanics and Service Technicians",2.88,3,3.12,2.62,3.62,4,3.12,2.12,2.62,3,2.62,1.5,1.38,2.38,2.62,2.75,2.12,3.25,3.38,1,2.38,0.88,3.5,3,4.12,1.62,2.38,2.5,2.88,2.5,2.25,1.12,2.75,3.88,2.75,"Level"
"311","Farm Labor Contractors",2.38,3.12,2.75,3.38,3.25,0,0.25,0,2.88,2.75,2.12,1.88,1.62,3.38,2.12,2.62,3,2.38,2.38,0.5,2.88,0.5,1.38,2.88,0,0.38,2.62,3,3.38,2,1.62,0,3.38,1.12,2.75,"Level"
"312","Farmworkers and Laborers, Crop",2.38,2.5,2.5,3,2.75,2.75,2.25,0.25,2.5,2.5,2.38,0,0.62,2.75,0.62,3,1.88,3,3,0.5,2.25,0,2.25,2,2.75,0.62,1.88,2.25,2.38,0.38,0.12,0,2.5,2.38,2.12,"Level"
"313","Farmworkers, Farm, Ranch, and Aquacultural Animals",2.38,2.62,2.38,3.12,2.88,2.5,2.38,0.12,2.62,2.75,2.38,0.62,1,2.25,1.62,3,1.75,3.12,3.12,0.25,2.25,0,2.75,2.62,2.62,1.38,2.38,2.38,2.62,1.62,1.88,0.5,2.62,2.5,2.75,"Level"
"314","Fashion Designers",3.38,3.88,3.38,3.75,3.62,0,0.62,0,3.12,3.62,3.12,2.75,2.62,3.12,2.25,3.75,3.38,0,1.88,3.38,3.5,0.62,2,3.75,0,0.25,3.25,3.75,3.62,3,3.5,0.62,3.88,1,3.5,"Level"
"315","Fence Erectors",2.25,2.25,2.62,3,2.62,2.38,2.25,0.25,2.25,2.75,2,1.38,1.38,2.38,2.75,2.62,2.12,2.88,2.62,1.38,2.38,0,2.75,2.38,2.12,0.12,2.5,2.25,2.38,1.62,1.88,1.12,2.75,2.25,2.25,"Level"
"316","Fiberglass Laminators and Fabricators",2.75,2.75,2.75,2.88,2.88,0,1.12,0.12,2.75,2.75,2.75,1.25,1.62,2.12,2.38,3.12,2.38,2.88,2.88,0.25,2.5,0,3,2.75,0.25,1.38,2.25,2.38,2.5,2,2,1.12,2.5,1.75,2.5,"Level"
"317","File Clerks",2.25,3,2.25,2.25,3,0,0.12,0,2.12,2.25,2.12,0.5,1.25,1.75,2.12,2.25,2.12,1.25,0.75,1.12,2.12,0.62,1.25,3,0,0,2.38,2.25,3,2.12,1.88,0.62,2.75,0.25,3,"Level"
"318","Film and Video Editors",3.12,3.62,3.12,3.25,3.25,0,0.75,0.38,2.75,3.12,2.75,1,1,2.38,1.75,3.12,2.62,0.75,2,2,2.88,1,2.25,3.5,0,0,2.62,2.62,3.12,2.62,2.62,1.75,3.25,1.38,3.12,"Level"
"319","Financial Analysts",3.88,3.88,3.5,3.25,3.88,0,0,0,2.75,3.88,3,2.25,0.88,2.62,3.5,3.38,3.12,0,0.62,2.75,3.38,0.88,0,4,0,1.38,2.88,3,3.75,3.62,3.5,0.38,3.25,0,4,"Level"
"320","Financial Examiners",4,4,4,3.75,4.5,0,0,0,3.75,4.12,3.88,1.25,0.62,3.88,3.5,3.88,3.25,0.38,1.5,3.12,3.38,1.62,2.25,4.25,0,0.25,3,3.75,4.12,3.88,3.88,0.5,4,0,4,"Level"
"321","Financial Managers, Branch or Department",4,4,3.5,3.88,4,0,0,0,3.88,4,4,3.38,1.88,4,3.38,4.5,3.5,0.38,0.75,2.5,4,0.38,0.75,4,0.12,0.38,3.88,4,4,3.38,3.62,0.5,4,0,4,"Level"
